document_id,country,title_original,title_translated,institution,authors,publication_year_original,publication_year_version_used,document_type,education_level,curricular_area,language_original,language_analysis,official_source_url,landing_page_url,access_date,doi,isbn,edition,version,current_status,file_name,relative_path,number_of_pages,file_size,sha256,ocr_used,ocr_engine,translation_used,translation_tool,translation_model,translation_date,source_verified,source_confidence,source_type,inclusion_reason,exclusion_reason,notes
BR_009,Brasil,brasil_ldb-lei-9394_compilada_1996-atualizada,brasil_ldb-lei-9394_compilada_1996-atualizada,Official institutional source,,,,document,,Computing and Digital Education,unknown,en,,,2026-08-29,,,,,available,brasil_ldb-lei-9394_compilada_1996-atualizada.pdf,brasil/brasil_ldb-lei-9394_compilada_1996-atualizada.pdf,,959237,ce737c7560efb29e27421f1daad04988be4b80cc463bd4d44995e0cc0880ffd7,false,,false,,,,false,E,pdf,official curriculum source available in corpus,,Generated by provenance pipeline; file kept unchanged in RAW corpus
BR_010,Brasil,brasil_matriz-saberes-digitais-docentes_2024,brasil_matriz-saberes-digitais-docentes_2024,Official institutional source,,,,document,,Computing and Digital Education,unknown,en,,,2026-08-29,,,,,available,brasil_matriz-saberes-digitais-docentes_2024.pdf,brasil/brasil_matriz-saberes-digitais-docentes_2024.pdf,,1011072,4f824a4529e6938a9b84c40953b28339d035b0fc91b8f3ba64108c5947323144,false,,false,,,,false,E,pdf,official curriculum source available in corpus,,Generated by provenance pipeline; file kept unchanged in RAW corpus
BR_011,Brasil,brasil_nota-tecnica-cieb-27_competencias-digitais-professores_2025,brasil_nota-tecnica-cieb-27_competencias-digitais-professores_2025,Official institutional source,,,,competence_framework,,Computing and Digital Education,unknown,en,,,2026-08-29,,,,,available,brasil_nota-tecnica-cieb-27_competencias-digitais-professores_2025.pdf,brasil/brasil_nota-tecnica-cieb-27_competencias-digitais-professores_2025.pdf,,3011388,1b9267b07082a1d65e4aa2a45b545b0bde2df7c445a1e8cf685fcdfc9f1bc745,false,,false,,,,false,E,pdf,official curriculum source available in corpus,,Generated by provenance pipeline; file kept unchanged in RAW corpus
BR_012,Brasil,brasil_parecer-cne-ceb-2_bncc-computacao_2022,brasil_parecer-cne-ceb-2_bncc-computacao_2022,Official institutional source,,,,curricular_base,,Computing and Digital Education,unknown,en,,,2026-08-29,,,,,available,brasil_parecer-cne-ceb-2_bncc-computacao_2022.pdf,brasil/brasil_parecer-cne-ceb-2_bncc-computacao_2022.pdf,,617783,03fa6616e7b92b9f382b3c4177acce23b49b6fe8e2d787fc86326908179fa144,false,,false,,,,false,E,pdf,official curriculum source available in corpus,,Generated by provenance pipeline; file kept unchanged in RAW corpus
BR_013,Brasil,brasil_parecer-cne-cp-15_bncc_2017,brasil_parecer-cne-cp-15_bncc_2017,Official institutional source,,,,curricular_base,,Computing and Digital Education,unknown,en,,,2026-08-29,,,,,available,brasil_parecer-cne-cp-15_bncc_2017.pdf,brasil/brasil_parecer-cne-cp-15_bncc_2017.pdf,,1226157,f60aeea416bfb36caebe4509fed5ddf27393224b2f08d25696d96762b5ce8b60,false,,false,,,,false,E,pdf,official curriculum source available in corpus,,Generated by provenance pipeline; file kept unchanged in RAW corpus
BR_014,Brasil,brasil_parecer-cne-cp-7_bncc_2022,brasil_parecer-cne-cp-7_bncc_2022,Official institutional source,,,,curricular_base,,Computing and Digital Education,unknown,en,,,2026-08-29,,,,,available,brasil_parecer-cne-cp-7_bncc_2022.pdf,brasil/brasil_parecer-cne-cp-7_bncc_2022.pdf,,345353,13db081f394177e96d1f41d9ed9cd0dc340999dbd329d7ade5dd41f68704e4e6,false,,false,,,,false,E,pdf,official curriculum source available in corpus,,Generated by provenance pipeline; file kept unchanged in RAW corpus
BR_015,Brasil,brasil_politica-nacional-educacao-digital-lei-14533_2023,brasil_politica-nacional-educacao-digital-lei-14533_2023,Official institutional source,,,,digital_education,,Computing and Digital Education,unknown,en,,,2026-08-29,,,,,available,brasil_politica-nacional-educacao-digital-lei-14533_2023.pdf,brasil/brasil_politica-nacional-educacao-digital-lei-14533_2023.pdf,,230336,edb05414bdeafe304877565cb2ad26e29a8a66ae4953132109ca388133238b0e,false,,false,,,,false,E,pdf,official curriculum source available in corpus,,Generated by provenance pipeline; file kept unchanged in RAW corpus
BR_016,Brasil,brasil_referencial-saberes-digitais-docentes_2024,brasil_referencial-saberes-digitais-docentes_2024,Official institutional source,,,,document,,Computing and Digital Education,unknown,en,,,2026-08-29,,,,,available,brasil_referencial-saberes-digitais-docentes_2024.pdf,brasil/brasil_referencial-saberes-digitais-docentes_2024.pdf,,1011072,4f824a4529e6938a9b84c40953b28339d035b0fc91b8f3ba64108c5947323144,false,,false,,,,false,E,pdf,official curriculum source available in corpus,,Generated by provenance pipeline; file kept unchanged in RAW corpus
BR_017,Brasil,brasil_resolucao-cne-ceb-1_bncc-computacao_2022,brasil_resolucao-cne-ceb-1_bncc-computacao_2022,Official institutional source,,,,curricular_base,,Computing and Digital Education,unknown,en,,,2026-08-29,,,,,available,brasil_resolucao-cne-ceb-1_bncc-computacao_2022.pdf,brasil/brasil_resolucao-cne-ceb-1_bncc-computacao_2022.pdf,,56344,cdf24bb1b5e7adf2f45e5e17da4cedb1a1d4fcd7a51b9daee0f5de0d3c11c39f,false,,false,,,,false,E,pdf,official curriculum source available in corpus,,Generated by provenance pipeline; file kept unchanged in RAW corpus
BR_018,Brasil,brasil_resolucao-cne-ceb-2_diretrizes-dispositivos-digitais-educacao-digital-midiatica_2025,brasil_resolucao-cne-ceb-2_diretrizes-dispositivos-digitais-educacao-digital-midiatica_2025,Official institutional source,,,,digital_education,,Computing and Digital Education,unknown,en,,,2026-08-29,,,,,available,brasil_resolucao-cne-ceb-2_diretrizes-dispositivos-digitais-educacao-digital-midiatica_2025.pdf,brasil/brasil_resolucao-cne-ceb-2_diretrizes-dispositivos-digitais-educacao-digital-midiatica_2025.pdf,,166156,0a3c1a814db467880f9eca6c3f2d4efa9e61d3e71b5f86aa9ef5f3413f04d76e,false,,false,,,,false,E,pdf,official curriculum source available in corpus,,Generated by provenance pipeline; file kept unchanged in RAW corpus
BR_019,Brasil,brasil_resolucao-cne-cp-2_bncc_2017,brasil_resolucao-cne-cp-2_bncc_2017,Official institutional source,,,,curricular_base,,Computing and Digital Education,unknown,en,,,2026-08-29,,,,,available,brasil_resolucao-cne-cp-2_bncc_2017.pdf,brasil/brasil_resolucao-cne-cp-2_bncc_2017.pdf,,202550,c8efab8f95341275027112d9244ceec8d49976682fb9d6f667842daa7faecae3,false,,false,,,,false,E,pdf,official curriculum source available in corpus,,Generated by provenance pipeline; file kept unchanged in RAW corpus
BR_020,Brasil,brasil_restricao-celulares-escolas-lei-15010_2025,brasil_restricao-celulares-escolas-lei-15010_2025,Official institutional source,,,,document,,Computing and Digital Education,unknown,en,,,2026-08-29,,,,,available,brasil_restricao-celulares-escolas-lei-15010_2025.pdf,brasil/brasil_restricao-celulares-escolas-lei-15010_2025.pdf,,64955,6dd62eda629780f3fd51466865a94cc7e9ea34794acab3f23539d2c275473583,false,,false,,,,false,E,pdf,official curriculum source available in corpus,,Generated by provenance pipeline; file kept unchanged in RAW corpus
CA_001,Canadá,canada_alberta_draft-k6-science-update_2022,canada_alberta_draft-k6-science-update_2022,Official institutional source,,,,document,,Computing and Digital Education,unknown,en,,,2026-08-29,,,,,available,canada_alberta_draft-k6-science-update_2022.pdf,canada/canada_alberta_draft-k6-science-update_2022.pdf,,1003250,87f0d546175b99e8874c941997b6fdaca13fcf75316546ecc63d68402a7b6f64,false,,false,,,,false,E,pdf,official curriculum source available in corpus,,Generated by provenance pipeline; file kept unchanged in RAW corpus
CA_002,Canadá,canada_alberta_k6-science-curriculum-computer-science_2023,canada_alberta_k6-science-curriculum-computer-science_2023,Official institutional source,,,,curriculum,,Computing and Digital Education,unknown,en,,,2026-08-29,,,,,available,canada_alberta_k6-science-curriculum-computer-science_2023.pdf,canada/canada_alberta_k6-science-curriculum-computer-science_2023.pdf,,515494,dfa49d822cc57ca254e51ee5ad3e4f227ae06cb6af52712cd24e7271fc87a2a0,false,,false,,,,false,E,pdf,official curriculum source available in corpus,,Generated by provenance pipeline; file kept unchanged in RAW corpus
CA_003,Canadá,canada_ontario_digital-action-plan,canada_ontario_digital-action-plan,Official institutional source,,,,digital_education,,Computing and Digital Education,unknown,en,,,2026-08-29,,,,,available,canada_ontario_digital-action-plan.pdf,canada/canada_ontario_digital-action-plan.pdf,,975451,b2b37911fb043797d22540aa50c533d83add843ef77ac3f34481eb962001ea47,false,,false,,,,false,E,pdf,official curriculum source available in corpus,,Generated by provenance pipeline; file kept unchanged in RAW corpus
CA_004,Canadá,canada_ontario_ministry-education-published-plan_2023-2024,canada_ontario_ministry-education-published-plan_2023-2024,Official institutional source,,,,document,,Computing and Digital Education,en,en,,,2026-08-29,,,,,available,canada_ontario_ministry-education-published-plan_2023-2024.html,canada/canada_ontario_ministry-education-published-plan_2023-2024.html,,170065,180581579a62706284ef18e6f64e7a9364ad4db0a4cb36420d8c99826492b104,false,,false,,,,true,A,html,official curriculum source available in corpus,,Generated by provenance pipeline; file kept unchanged in RAW corpus
CL_001,Chile,articles-140146_programa_feb_2021_final_s_disegno,articles-140146_programa_feb_2021_final_s_disegno,Official institutional source,,,,document,,Computing and Digital Education,unknown,en,,,2026-08-29,,,,,available,articles-140146_programa_feb_2021_final_s_disegno.pdf,chile/articles-140146_programa_feb_2021_final_s_disegno.pdf,,9593156,03735fd28431310f1666a7c92c93bf3d600af0f89b815a00910c0e5a09a098a4,false,,false,,,,false,E,pdf,official curriculum source available in corpus,,Generated by provenance pipeline; file kept unchanged in RAW corpus
CL_002,Chile,articles-37136_bases,articles-37136_bases,Official institutional source,,,,document,,Computing and Digital Education,unknown,en,,,2026-08-29,,,,,available,articles-37136_bases.pdf,chile/articles-37136_bases.pdf,,4493095,2c3f13f251c7d6f349cb1b73c379592da2bcf1f550cec3380132eb4ea887109f,false,,false,,,,false,E,pdf,official curriculum source available in corpus,,Generated by provenance pipeline; file kept unchanged in RAW corpus
CL_003,Chile,articles-91414_bases,articles-91414_bases,Official institutional source,,,,document,,Computing and Digital Education,unknown,en,,,2026-08-29,,,,,available,articles-91414_bases.pdf,chile/articles-91414_bases.pdf,,2228417,88c085fbbbad5833f90ca88bc2daefb3251fe5507903edbe9e4b966614c7aab4,false,,false,,,,false,E,pdf,official curriculum source available in corpus,,Generated by provenance pipeline; file kept unchanged in RAW corpus
CL_004,Chile,chile_bases-curriculares_educacion-basica_2012_FALHA_DOWNLOAD,chile_bases-curriculares_educacion-basica_2012_FALHA_DOWNLOAD,Official institutional source,,,,document,,Computing and Digital Education,en,en,,,2026-08-29,,,,,available,chile_bases-curriculares_educacion-basica_2012_FALHA_DOWNLOAD.txt,chile/chile_bases-curriculares_educacion-basica_2012_FALHA_DOWNLOAD.txt,,279,d5ce429e1ac439643c12d64cfff33b212a16b05ed7c38dc6a3384209d78c9bbb,false,,false,,,,false,E,txt,official curriculum source available in corpus,,Generated by provenance pipeline; file kept unchanged in RAW corpus
CL_005,Chile,chile_tecnologia_programa_3-basico_FALHA_DOWNLOAD,chile_tecnologia_programa_3-basico_FALHA_DOWNLOAD,Official institutional source,,,,digital_education,,Computing and Digital Education,en,en,,,2026-08-29,,,,,available,chile_tecnologia_programa_3-basico_FALHA_DOWNLOAD.txt,chile/chile_tecnologia_programa_3-basico_FALHA_DOWNLOAD.txt,,219,5bbc1c91a5639566a90c70a20b3a23d725222d8aee9de9c4136f8b5e5c8aac3e,false,,false,,,,false,E,txt,official curriculum source available in corpus,,Generated by provenance pipeline; file kept unchanged in RAW corpus
CL_006,Chile,chile_tecnologia_programa_4-basico_FALHA_DOWNLOAD,chile_tecnologia_programa_4-basico_FALHA_DOWNLOAD,Official institutional source,,,,digital_education,,Computing and Digital Education,en,en,,,2026-08-29,,,,,available,chile_tecnologia_programa_4-basico_FALHA_DOWNLOAD.txt,chile/chile_tecnologia_programa_4-basico_FALHA_DOWNLOAD.txt,,219,72142cba8035b867b5b6c61181a3547396c47a9a16e5c8c53a806f0cd4c63d68,false,,false,,,,false,E,txt,official curriculum source available in corpus,,Generated by provenance pipeline; file kept unchanged in RAW corpus
CL_007,Chile,chile_tecnologia_programa_5-basico_FALHA_DOWNLOAD,chile_tecnologia_programa_5-basico_FALHA_DOWNLOAD,Official institutional source,,,,digital_education,,Computing and Digital Education,en,en,,,2026-08-29,,,,,available,chile_tecnologia_programa_5-basico_FALHA_DOWNLOAD.txt,chile/chile_tecnologia_programa_5-basico_FALHA_DOWNLOAD.txt,,219,9ee465ec3493b8d4fb696f856a1dccdfde696f714005082a515566c20288ad6d,false,,false,,,,false,E,txt,official curriculum source available in corpus,,Generated by provenance pipeline; file kept unchanged in RAW corpus
CL_008,Chile,chile_tecnologia_programa_6-basico_FALHA_DOWNLOAD,chile_tecnologia_programa_6-basico_FALHA_DOWNLOAD,Official institutional source,,,,digital_education,,Computing and Digital Education,en,en,,,2026-08-29,,,,,available,chile_tecnologia_programa_6-basico_FALHA_DOWNLOAD.txt,chile/chile_tecnologia_programa_6-basico_FALHA_DOWNLOAD.txt,,219,ee31d9a7c756821f05ee72ae375927e71e15e8734f473ae694be02e346552e39,false,,false,,,,false,E,txt,official curriculum source available in corpus,,Generated by provenance pipeline; file kept unchanged in RAW corpus
CL_009,Chile,DS_PO_3_2025_tiskarna-66-82,DS_PO_3_2025_tiskarna-66-82,Official institutional source,,,,document,,Computing and Digital Education,unknown,en,,,2026-08-29,,,,,available,DS_PO_3_2025_tiskarna-66-82.pdf,chile/DS_PO_3_2025_tiskarna-66-82.pdf,,3906460,b3593a69a6a8cf27e28c46200c21622254b1a6d12819652e99bf115fb0a2b96f,false,,false,,,,false,E,pdf,official curriculum source available in corpus,,Generated by provenance pipeline; file kept unchanged in RAW corpus
CL_010,Chile,Recurso_2_Rota do Pensamento Computacional,Recurso_2_Rota do Pensamento Computacional,Official institutional source,,,,document,,Computing and Digital Education,unknown,en,,,2026-08-29,,,,,available,Recurso_2_Rota do Pensamento Computacional.pdf,chile/Recurso_2_Rota do Pensamento Computacional.pdf,,1163494,71535dbb65ea3b922a4e503ff3b264e61c322e3bd24ddef630afcd9f2623facf,false,,false,,,,false,E,pdf,official curriculum source available in corpus,,Generated by provenance pipeline; file kept unchanged in RAW corpus
KR_001,Coreia do Sul,coreia-do-sul_keris-white-paper-software-education_2018,coreia-do-sul_keris-white-paper-software-education_2018,Official institutional source,,,,document,,Computing and Digital Education,unknown,en,,,2026-08-29,,,,,available,coreia-do-sul_keris-white-paper-software-education_2018.pdf,coreia-do-sul/coreia-do-sul_keris-white-paper-software-education_2018.pdf,,13629143,dff62d3beaeac8b1c3e9131454b64fb0fa2fd28c52ce7ff2b049f69ddbcb3a8c,false,,false,,,,true,A,pdf,official curriculum source available in corpus,,Generated by provenance pipeline; file kept unchanged in RAW corpus
US_001,Estados Unidos,eua_k12-computer-science-framework_2016,eua_k12-computer-science-framework_2016,Official institutional source,,,,document,,Computing and Digital Education,unknown,en,,,2026-08-29,,,,,available,eua_k12-computer-science-framework_2016.pdf,eua/eua_k12-computer-science-framework_2016.pdf,,9543267,a061a0d21a102d5780582935c44ad166257c2561dc8489be27649a0bc47741f8,false,,false,,,,false,E,pdf,official curriculum source available in corpus,,Generated by provenance pipeline; file kept unchanged in RAW corpus
FI_001,Finlândia,finlandia_new-national-core-curriculum-basic-education_2016,finlandia_new-national-core-curriculum-basic-education_2016,Official institutional source,,,,curriculum,,Computing and Digital Education,unknown,en,,,2026-08-29,,,,,available,finlandia_new-national-core-curriculum-basic-education_2016.pdf,finlandia/finlandia_new-national-core-curriculum-basic-education_2016.pdf,,50051,35099db8a0e85b8267379ac4813e7ef0c1d9bb64c33a8bccf10658af3ff5f71f,false,,false,,,,true,A,pdf,official curriculum source available in corpus,,Generated by provenance pipeline; file kept unchanged in RAW corpus
GH_001,Gana,gana_computing-common-core-programme-curriculum_2023,gana_computing-common-core-programme-curriculum_2023,Official institutional source,,,,curriculum,,Computing and Digital Education,unknown,en,,,2026-08-29,,,,,available,gana_computing-common-core-programme-curriculum_2023.pdf,gana/gana_computing-common-core-programme-curriculum_2023.pdf,,1259162,4d157e4ed4acf74879a0b8f7378319221ee639f42ce0d3b5eb820029210253fe,false,,false,,,,false,E,pdf,official curriculum source available in corpus,,Generated by provenance pipeline; file kept unchanged in RAW corpus
GH_002,Gana,gana_computing-primary-b4-b6_2019,gana_computing-primary-b4-b6_2019,Official institutional source,,,,document,,Computing and Digital Education,unknown,en,,,2026-08-29,,,,,available,gana_computing-primary-b4-b6_2019.pdf,gana/gana_computing-primary-b4-b6_2019.pdf,,1011998,d622739de46fdc138508aa82b56a196453581677cd653bcab5f4b3723eb1ecca,false,,false,,,,false,E,pdf,official curriculum source available in corpus,,Generated by provenance pipeline; file kept unchanged in RAW corpus
HK_001,Hong Kong,hong-kong_general-studies-curriculum-guide_coding-stem_2017,hong-kong_general-studies-curriculum-guide_coding-stem_2017,Official institutional source,,,,curriculum,,Computing and Digital Education,unknown,en,,,2026-08-29,,,,,available,hong-kong_general-studies-curriculum-guide_coding-stem_2017.pdf,hong-kong/hong-kong_general-studies-curriculum-guide_coding-stem_2017.pdf,,3770166,d35f75d894abb08f748952dde99364bed40e7ac4a1f23c43b0eefc85828deb18,false,,false,,,,false,E,pdf,official curriculum source available in corpus,,Generated by provenance pipeline; file kept unchanged in RAW corpus
HK_002,Hong Kong,hong-kong_ict-curriculum-and-assessment-guide_2017,hong-kong_ict-curriculum-and-assessment-guide_2017,Official institutional source,,,,curriculum,,Computing and Digital Education,unknown,en,,,2026-08-29,,,,,available,hong-kong_ict-curriculum-and-assessment-guide_2017.pdf,hong-kong/hong-kong_ict-curriculum-and-assessment-guide_2017.pdf,,2163779,1223f75af8fa9b2534d64971ab886fd02e1acff5f2418d33d9877450b4957a92,false,,false,,,,false,E,pdf,official curriculum source available in corpus,,Generated by provenance pipeline; file kept unchanged in RAW corpus
IE_001,Irlanda,irlanda_computer-science-curriculum-specification_2018,irlanda_computer-science-curriculum-specification_2018,Official institutional source,,,,curriculum,,Computing and Digital Education,unknown,en,,,2026-08-29,,,,,available,irlanda_computer-science-curriculum-specification_2018.pdf,irlanda/irlanda_computer-science-curriculum-specification_2018.pdf,,1286193,53d7cac7bb650bae819ecbf928e97a47f9e7ac66f085b00ccc48fdcd3cda5df8,false,,false,,,,false,E,pdf,official curriculum source available in corpus,,Generated by provenance pipeline; file kept unchanged in RAW corpus
JP_001,Japão,japao_high-school-curriculum-guidelines_2022,japao_high-school-curriculum-guidelines_2022,Official institutional source,,,,curriculum,,Computing and Digital Education,unknown,en,,,2026-08-29,,,,,available,japao_high-school-curriculum-guidelines_2022.pdf,japao/japao_high-school-curriculum-guidelines_2022.pdf,,8411726,b054afebb627f89159aad4ab471abed9313e5fdd9c18645ef13bc972d6bef9cb,false,,false,,,,false,E,pdf,official curriculum source available in corpus,,Generated by provenance pipeline; file kept unchanged in RAW corpus
JP_002,Japão,japao_high-school-information-commentary_2022,japao_high-school-information-commentary_2022,Official institutional source,,,,document,,Computing and Digital Education,unknown,en,,,2026-08-29,,,,,available,japao_high-school-information-commentary_2022.pdf,japao/japao_high-school-information-commentary_2022.pdf,,3710588,0a95db55b9ec0570ac4b47586d9f6342c82a0ec5e7c0b071111208ae6e09d443,false,,false,,,,false,E,pdf,official curriculum source available in corpus,,Generated by provenance pipeline; file kept unchanged in RAW corpus
MA_001,Marrocos,190931mul,190931mul,Official institutional source,,,,document,,Computing and Digital Education,en,en,,,2026-08-29,,,,,available,190931mul.pdf,marrocos/190931mul.pdf,,175740,448a7ce031fdedace3a7cbf3e799ccf5e903d7d122b6b905cafbc718c7c4704b,false,,false,,,,false,E,pdf,official curriculum source available in corpus,,Generated by provenance pipeline; file kept unchanged in RAW corpus
MA_002,Marrocos,FRoutefr,FRoutefr,Official institutional source,,,,document,,Computing and Digital Education,unknown,en,,,2026-08-29,,,,,available,FRoutefr.pdf,marrocos/FRoutefr.pdf,,3040482,719582796f684ade4442e9e711c79eb55893ce935086edaa5590d81a82da472e,false,,false,,,,false,E,pdf,official curriculum source available in corpus,,Generated by provenance pipeline; file kept unchanged in RAW corpus
MA_003,Marrocos,Guide des jeux ludiques et numériques,Guide des jeux ludiques et numériques,Official institutional source,,,,document,,Computing and Digital Education,unknown,en,,,2026-08-29,,,,,available,Guide des jeux ludiques et numériques.pdf,marrocos/Guide des jeux ludiques et numériques.pdf,,7587232,9b99f44b52e9610e1715aa648dc06cb4972c1d704e6f66675cd40249b78dca4a,false,,false,,,,false,E,pdf,official curriculum source available in corpus,,Generated by provenance pipeline; file kept unchanged in RAW corpus
MA_004,Marrocos,Guide pedagogiques_Pres scolaire 2020,Guide pedagogiques_Pres scolaire 2020,Official institutional source,,,,document,,Computing and Digital Education,unknown,en,,,2026-08-29,,,,,available,Guide pedagogiques_Pres scolaire 2020.pdf,marrocos/Guide pedagogiques_Pres scolaire 2020.pdf,,3091625,3e467863834a82e51538d4b901b8407590f731b103fbeb3f5e89ce2b34a1d68a,false,,false,,,,false,E,pdf,official curriculum source available in corpus,,Generated by provenance pipeline; file kept unchanged in RAW corpus
MA_005,Marrocos,Guide pratique pour la formation et la qualification des acteurs pédagogiques dans le cadre des curricula du préscolaire,Guide pratique pour la formation et la qualification des acteurs pédagogiques dans le cadre des curricula du préscolaire,Official institutional source,,,,document,,Computing and Digital Education,unknown,en,,,2026-08-29,,,,,available,Guide pratique pour la formation et la qualification des acteurs pédagogiques dans le cadre des curricula du préscolaire.pdf,marrocos/Guide pratique pour la formation et la qualification des acteurs pédagogiques dans le cadre des curricula du préscolaire.pdf,,26836503,66e202801b5f17e7344036eae6d40ea3a1dcbd1c37121cc1288dc0205ce744ba,false,,false,,,,false,E,pdf,official curriculum source available in corpus,,Generated by provenance pipeline; file kept unchanged in RAW corpus
